packet_id,dim,rater_a,rater_b,agree
ag_097,semantic_faithfulness,2,2,1
ag_097,code_consistency,3,2,0
ag_097,proof_utility,1,1,1
ag_097,coverage_label,failed,failed,1
ag_097,vacuity_label,non_vacuous,non_vacuous,1
ag_098,semantic_faithfulness,3,3,1
ag_098,code_consistency,4,4,1
ag_098,proof_utility,2,2,1
ag_098,coverage_label,full,full,1
ag_098,vacuity_label,non_vacuous,non_vacuous,1
ag_099,semantic_faithfulness,2,2,1
ag_099,code_consistency,3,3,1
ag_099,proof_utility,1,2,0
ag_099,coverage_label,failed,failed,1
ag_099,vacuity_label,non_vacuous,non_vacuous,1
ag_100,semantic_faithfulness,4,3,0
ag_100,code_consistency,4,4,1
ag_100,proof_utility,2,1,0
ag_100,coverage_label,full,full,1
ag_100,vacuity_label,non_vacuous,non_vacuous,1
ag_101,semantic_faithfulness,3,3,1
ag_101,code_consistency,4,4,1
ag_101,proof_utility,2,2,1
ag_101,coverage_label,partial,partial,1
ag_101,vacuity_label,non_vacuous,non_vacuous,1
ag_102,semantic_faithfulness,3,3,1
ag_102,code_consistency,4,4,1
ag_102,proof_utility,2,2,1
ag_102,coverage_label,full,full,1
ag_102,vacuity_label,non_vacuous,non_vacuous,1
ag_103,semantic_faithfulness,3,3,1
ag_103,code_consistency,4,4,1
ag_103,proof_utility,2,2,1
ag_103,coverage_label,full,full,1
ag_103,vacuity_label,non_vacuous,non_vacuous,1
ag_104,semantic_faithfulness,3,3,1
ag_104,code_consistency,4,4,1
ag_104,proof_utility,3,3,1
ag_104,coverage_label,full,full,1
ag_104,vacuity_label,non_vacuous,non_vacuous,1
ag_105,semantic_faithfulness,2,2,1
ag_105,code_consistency,3,3,1
ag_105,proof_utility,1,1,1
ag_105,coverage_label,failed,failed,1
ag_105,vacuity_label,non_vacuous,non_vacuous,1
ag_106,semantic_faithfulness,3,3,1
ag_106,code_consistency,4,4,1
ag_106,proof_utility,2,2,1
ag_106,coverage_label,full,full,1
ag_106,vacuity_label,non_vacuous,non_vacuous,1
ag_107,semantic_faithfulness,2,2,1
ag_107,code_consistency,3,3,1
ag_107,proof_utility,1,1,1
ag_107,coverage_label,failed,failed,1
ag_107,vacuity_label,non_vacuous,non_vacuous,1
ag_108,semantic_faithfulness,4,4,1
ag_108,code_consistency,4,4,1
ag_108,proof_utility,2,1,0
ag_108,coverage_label,full,full,1
ag_108,vacuity_label,non_vacuous,non_vacuous,1
ag_109,semantic_faithfulness,3,3,1
ag_109,code_consistency,4,4,1
ag_109,proof_utility,2,3,0
ag_109,coverage_label,partial,partial,1
ag_109,vacuity_label,non_vacuous,non_vacuous,1
ag_110,semantic_faithfulness,3,3,1
ag_110,code_consistency,4,4,1
ag_110,proof_utility,2,1,0
ag_110,coverage_label,full,full,1
ag_110,vacuity_label,non_vacuous,vacuous,0
ag_111,semantic_faithfulness,3,3,1
ag_111,code_consistency,4,4,1
ag_111,proof_utility,2,2,1
ag_111,coverage_label,full,full,1
ag_111,vacuity_label,non_vacuous,non_vacuous,1
ag_112,semantic_faithfulness,3,3,1
ag_112,code_consistency,4,4,1
ag_112,proof_utility,3,3,1
ag_112,coverage_label,full,full,1
ag_112,vacuity_label,non_vacuous,non_vacuous,1
ag_113,semantic_faithfulness,3,3,1
ag_113,code_consistency,4,4,1
ag_113,proof_utility,2,2,1
ag_113,coverage_label,partial,partial,1
ag_113,vacuity_label,non_vacuous,non_vacuous,1
ag_114,semantic_faithfulness,3,3,1
ag_114,code_consistency,4,4,1
ag_114,proof_utility,2,2,1
ag_114,coverage_label,full,full,1
ag_114,vacuity_label,non_vacuous,non_vacuous,1
ag_115,semantic_faithfulness,4,4,1
ag_115,code_consistency,4,4,1
ag_115,proof_utility,2,1,0
ag_115,coverage_label,full,full,1
ag_115,vacuity_label,non_vacuous,non_vacuous,1
ag_116,semantic_faithfulness,4,4,1
ag_116,code_consistency,4,4,1
ag_116,proof_utility,3,3,1
ag_116,coverage_label,full,full,1
ag_116,vacuity_label,non_vacuous,non_vacuous,1
ag_117,semantic_faithfulness,3,3,1
ag_117,code_consistency,4,4,1
ag_117,proof_utility,2,1,0
ag_117,coverage_label,partial,partial,1
ag_117,vacuity_label,non_vacuous,non_vacuous,1
ag_118,semantic_faithfulness,3,4,0
ag_118,code_consistency,4,4,1
ag_118,proof_utility,2,2,1
ag_118,coverage_label,full,full,1
ag_118,vacuity_label,non_vacuous,non_vacuous,1
ag_119,semantic_faithfulness,3,3,1
ag_119,code_consistency,4,4,1
ag_119,proof_utility,2,2,1
ag_119,coverage_label,partial,partial,1
ag_119,vacuity_label,non_vacuous,non_vacuous,1
ag_120,semantic_faithfulness,3,3,1
ag_120,code_consistency,4,4,1
ag_120,proof_utility,3,3,1
ag_120,coverage_label,full,full,1
ag_120,vacuity_label,non_vacuous,non_vacuous,1
ag_121,semantic_faithfulness,3,3,1
ag_121,code_consistency,4,4,1
ag_121,proof_utility,2,2,1
ag_121,coverage_label,partial,partial,1
ag_121,vacuity_label,non_vacuous,non_vacuous,1
ag_122,semantic_faithfulness,3,3,1
ag_122,code_consistency,4,4,1
ag_122,proof_utility,2,2,1
ag_122,coverage_label,full,full,1
ag_122,vacuity_label,non_vacuous,non_vacuous,1
ag_123,semantic_faithfulness,4,4,1
ag_123,code_consistency,4,4,1
ag_123,proof_utility,2,2,1
ag_123,coverage_label,full,full,1
ag_123,vacuity_label,non_vacuous,non_vacuous,1
ag_124,semantic_faithfulness,4,4,1
ag_124,code_consistency,4,4,1
ag_124,proof_utility,3,3,1
ag_124,coverage_label,full,full,1
ag_124,vacuity_label,non_vacuous,non_vacuous,1
ag_125,semantic_faithfulness,3,3,1
ag_125,code_consistency,4,4,1
ag_125,proof_utility,2,2,1
ag_125,coverage_label,partial,partial,1
ag_125,vacuity_label,non_vacuous,non_vacuous,1
ag_126,semantic_faithfulness,3,3,1
ag_126,code_consistency,4,4,1
ag_126,proof_utility,2,2,1
ag_126,coverage_label,full,full,1
ag_126,vacuity_label,non_vacuous,non_vacuous,1
ag_127,semantic_faithfulness,3,3,1
ag_127,code_consistency,4,4,1
ag_127,proof_utility,2,3,0
ag_127,coverage_label,partial,partial,1
ag_127,vacuity_label,non_vacuous,non_vacuous,1
ag_128,semantic_faithfulness,3,3,1
ag_128,code_consistency,4,4,1
ag_128,proof_utility,3,3,1
ag_128,coverage_label,full,full,1
ag_128,vacuity_label,non_vacuous,non_vacuous,1
ag_129,semantic_faithfulness,4,4,1
ag_129,code_consistency,4,4,1
ag_129,proof_utility,2,2,1
ag_129,coverage_label,partial,failed,0
ag_129,vacuity_label,non_vacuous,vacuous,0
ag_130,semantic_faithfulness,4,4,1
ag_130,code_consistency,4,4,1
ag_130,proof_utility,2,2,1
ag_130,coverage_label,full,full,1
ag_130,vacuity_label,non_vacuous,non_vacuous,1
ag_131,semantic_faithfulness,4,4,1
ag_131,code_consistency,4,4,1
ag_131,proof_utility,2,2,1
ag_131,coverage_label,partial,partial,1
ag_131,vacuity_label,non_vacuous,non_vacuous,1
ag_132,semantic_faithfulness,4,4,1
ag_132,code_consistency,4,4,1
ag_132,proof_utility,3,3,1
ag_132,coverage_label,full,full,1
ag_132,vacuity_label,non_vacuous,non_vacuous,1
ag_133,semantic_faithfulness,4,4,1
ag_133,code_consistency,4,4,1
ag_133,proof_utility,2,2,1
ag_133,coverage_label,partial,partial,1
ag_133,vacuity_label,non_vacuous,non_vacuous,1
ag_134,semantic_faithfulness,4,4,1
ag_134,code_consistency,4,4,1
ag_134,proof_utility,2,2,1
ag_134,coverage_label,full,full,1
ag_134,vacuity_label,non_vacuous,non_vacuous,1
ag_135,semantic_faithfulness,4,4,1
ag_135,code_consistency,4,4,1
ag_135,proof_utility,2,2,1
ag_135,coverage_label,partial,partial,1
ag_135,vacuity_label,non_vacuous,non_vacuous,1
ag_136,semantic_faithfulness,4,4,1
ag_136,code_consistency,4,3,0
ag_136,proof_utility,3,3,1
ag_136,coverage_label,full,full,1
ag_136,vacuity_label,non_vacuous,non_vacuous,1
ag_137,semantic_faithfulness,4,4,1
ag_137,code_consistency,4,3,0
ag_137,proof_utility,2,1,0
ag_137,coverage_label,partial,partial,1
ag_137,vacuity_label,non_vacuous,non_vacuous,1
ag_138,semantic_faithfulness,4,4,1
ag_138,code_consistency,4,4,1
ag_138,proof_utility,2,2,1
ag_138,coverage_label,full,full,1
ag_138,vacuity_label,non_vacuous,non_vacuous,1
ag_139,semantic_faithfulness,4,4,1
ag_139,code_consistency,4,4,1
ag_139,proof_utility,2,2,1
ag_139,coverage_label,partial,partial,1
ag_139,vacuity_label,non_vacuous,non_vacuous,1
ag_140,semantic_faithfulness,4,4,1
ag_140,code_consistency,4,4,1
ag_140,proof_utility,3,3,1
ag_140,coverage_label,full,full,1
ag_140,vacuity_label,non_vacuous,non_vacuous,1
ag_141,semantic_faithfulness,4,4,1
ag_141,code_consistency,4,4,1
ag_141,proof_utility,2,2,1
ag_141,coverage_label,partial,failed,0
ag_141,vacuity_label,non_vacuous,non_vacuous,1
ag_142,semantic_faithfulness,4,4,1
ag_142,code_consistency,4,4,1
ag_142,proof_utility,2,2,1
ag_142,coverage_label,full,full,1
ag_142,vacuity_label,non_vacuous,non_vacuous,1
ag_143,semantic_faithfulness,4,4,1
ag_143,code_consistency,4,4,1
ag_143,proof_utility,2,2,1
ag_143,coverage_label,partial,partial,1
ag_143,vacuity_label,non_vacuous,non_vacuous,1
ag_144,semantic_faithfulness,4,4,1
ag_144,code_consistency,4,4,1
ag_144,proof_utility,3,3,1
ag_144,coverage_label,full,full,1
ag_144,vacuity_label,non_vacuous,non_vacuous,1
ag_145,semantic_faithfulness,4,4,1
ag_145,code_consistency,4,3,0
ag_145,proof_utility,2,2,1
ag_145,coverage_label,partial,partial,1
ag_145,vacuity_label,non_vacuous,non_vacuous,1
ag_146,semantic_faithfulness,4,4,1
ag_146,code_consistency,4,4,1
ag_146,proof_utility,2,2,1
ag_146,coverage_label,full,full,1
ag_146,vacuity_label,non_vacuous,non_vacuous,1
ag_147,semantic_faithfulness,4,4,1
ag_147,code_consistency,4,4,1
ag_147,proof_utility,2,2,1
ag_147,coverage_label,full,full,1
ag_147,vacuity_label,non_vacuous,non_vacuous,1
ag_148,semantic_faithfulness,4,4,1
ag_148,code_consistency,4,4,1
ag_148,proof_utility,4,4,1
ag_148,coverage_label,full,full,1
ag_148,vacuity_label,non_vacuous,non_vacuous,1
ag_149,semantic_faithfulness,3,3,1
ag_149,code_consistency,4,4,1
ag_149,proof_utility,2,2,1
ag_149,coverage_label,partial,partial,1
ag_149,vacuity_label,non_vacuous,non_vacuous,1
ag_150,semantic_faithfulness,4,4,1
ag_150,code_consistency,4,4,1
ag_150,proof_utility,2,2,1
ag_150,coverage_label,full,full,1
ag_150,vacuity_label,non_vacuous,non_vacuous,1
ag_151,semantic_faithfulness,4,4,1
ag_151,code_consistency,4,4,1
ag_151,proof_utility,2,2,1
ag_151,coverage_label,partial,partial,1
ag_151,vacuity_label,non_vacuous,non_vacuous,1
ag_152,semantic_faithfulness,4,4,1
ag_152,code_consistency,4,4,1
ag_152,proof_utility,4,4,1
ag_152,coverage_label,full,full,1
ag_152,vacuity_label,non_vacuous,non_vacuous,1
ag_153,semantic_faithfulness,4,4,1
ag_153,code_consistency,4,4,1
ag_153,proof_utility,2,2,1
ag_153,coverage_label,partial,partial,1
ag_153,vacuity_label,non_vacuous,non_vacuous,1
ag_154,semantic_faithfulness,4,4,1
ag_154,code_consistency,4,4,1
ag_154,proof_utility,2,2,1
ag_154,coverage_label,full,full,1
ag_154,vacuity_label,non_vacuous,vacuous,0
ag_155,semantic_faithfulness,4,4,1
ag_155,code_consistency,4,4,1
ag_155,proof_utility,2,2,1
ag_155,coverage_label,full,full,1
ag_155,vacuity_label,non_vacuous,non_vacuous,1
ag_156,semantic_faithfulness,4,4,1
ag_156,code_consistency,4,4,1
ag_156,proof_utility,4,4,1
ag_156,coverage_label,full,full,1
ag_156,vacuity_label,non_vacuous,non_vacuous,1
ag_157,semantic_faithfulness,3,3,1
ag_157,code_consistency,4,4,1
ag_157,proof_utility,2,2,1
ag_157,coverage_label,partial,partial,1
ag_157,vacuity_label,non_vacuous,non_vacuous,1
ag_158,semantic_faithfulness,4,4,1
ag_158,code_consistency,4,4,1
ag_158,proof_utility,2,2,1
ag_158,coverage_label,full,full,1
ag_158,vacuity_label,non_vacuous,non_vacuous,1
ag_159,semantic_faithfulness,4,4,1
ag_159,code_consistency,4,4,1
ag_159,proof_utility,2,3,0
ag_159,coverage_label,partial,partial,1
ag_159,vacuity_label,non_vacuous,non_vacuous,1
ag_160,semantic_faithfulness,4,4,1
ag_160,code_consistency,4,4,1
ag_160,proof_utility,4,4,1
ag_160,coverage_label,full,partial,0
ag_160,vacuity_label,non_vacuous,non_vacuous,1
ag_161,semantic_faithfulness,3,3,1
ag_161,code_consistency,4,4,1
ag_161,proof_utility,2,2,1
ag_161,coverage_label,partial,partial,1
ag_161,vacuity_label,non_vacuous,non_vacuous,1
ag_162,semantic_faithfulness,4,4,1
ag_162,code_consistency,4,4,1
ag_162,proof_utility,2,2,1
ag_162,coverage_label,full,full,1
ag_162,vacuity_label,non_vacuous,non_vacuous,1
ag_163,semantic_faithfulness,4,4,1
ag_163,code_consistency,4,4,1
ag_163,proof_utility,2,2,1
ag_163,coverage_label,full,full,1
ag_163,vacuity_label,non_vacuous,non_vacuous,1
ag_164,semantic_faithfulness,4,4,1
ag_164,code_consistency,4,4,1
ag_164,proof_utility,4,4,1
ag_164,coverage_label,full,full,1
ag_164,vacuity_label,non_vacuous,non_vacuous,1
ag_165,semantic_faithfulness,3,3,1
ag_165,code_consistency,4,4,1
ag_165,proof_utility,2,2,1
ag_165,coverage_label,partial,partial,1
ag_165,vacuity_label,non_vacuous,non_vacuous,1
ag_166,semantic_faithfulness,4,4,1
ag_166,code_consistency,4,4,1
ag_166,proof_utility,2,2,1
ag_166,coverage_label,full,full,1
ag_166,vacuity_label,non_vacuous,non_vacuous,1
ag_167,semantic_faithfulness,3,3,1
ag_167,code_consistency,4,4,1
ag_167,proof_utility,2,2,1
ag_167,coverage_label,partial,partial,1
ag_167,vacuity_label,non_vacuous,non_vacuous,1
ag_168,semantic_faithfulness,4,4,1
ag_168,code_consistency,4,4,1
ag_168,proof_utility,3,4,0
ag_168,coverage_label,full,full,1
ag_168,vacuity_label,non_vacuous,vacuous,0
ag_169,semantic_faithfulness,3,3,1
ag_169,code_consistency,4,4,1
ag_169,proof_utility,2,2,1
ag_169,coverage_label,partial,partial,1
ag_169,vacuity_label,non_vacuous,non_vacuous,1
ag_170,semantic_faithfulness,4,4,1
ag_170,code_consistency,4,4,1
ag_170,proof_utility,2,2,1
ag_170,coverage_label,full,full,1
ag_170,vacuity_label,non_vacuous,non_vacuous,1
ag_171,semantic_faithfulness,4,4,1
ag_171,code_consistency,4,4,1
ag_171,proof_utility,2,2,1
ag_171,coverage_label,full,full,1
ag_171,vacuity_label,non_vacuous,vacuous,0
ag_172,semantic_faithfulness,4,4,1
ag_172,code_consistency,4,4,1
ag_172,proof_utility,4,4,1
ag_172,coverage_label,full,partial,0
ag_172,vacuity_label,non_vacuous,non_vacuous,1
ag_173,semantic_faithfulness,3,3,1
ag_173,code_consistency,4,4,1
ag_173,proof_utility,2,2,1
ag_173,coverage_label,partial,partial,1
ag_173,vacuity_label,non_vacuous,non_vacuous,1
ag_174,semantic_faithfulness,4,4,1
ag_174,code_consistency,4,4,1
ag_174,proof_utility,2,2,1
ag_174,coverage_label,full,full,1
ag_174,vacuity_label,non_vacuous,non_vacuous,1
ag_175,semantic_faithfulness,3,3,1
ag_175,code_consistency,4,4,1
ag_175,proof_utility,2,2,1
ag_175,coverage_label,partial,partial,1
ag_175,vacuity_label,non_vacuous,non_vacuous,1
ag_176,semantic_faithfulness,4,4,1
ag_176,code_consistency,4,4,1
ag_176,proof_utility,3,3,1
ag_176,coverage_label,full,full,1
ag_176,vacuity_label,non_vacuous,non_vacuous,1
ag_177,semantic_faithfulness,3,3,1
ag_177,code_consistency,4,4,1
ag_177,proof_utility,2,3,0
ag_177,coverage_label,partial,partial,1
ag_177,vacuity_label,non_vacuous,non_vacuous,1
ag_178,semantic_faithfulness,4,4,1
ag_178,code_consistency,4,4,1
ag_178,proof_utility,2,2,1
ag_178,coverage_label,full,full,1
ag_178,vacuity_label,non_vacuous,non_vacuous,1
ag_179,semantic_faithfulness,3,3,1
ag_179,code_consistency,4,4,1
ag_179,proof_utility,2,2,1
ag_179,coverage_label,partial,partial,1
ag_179,vacuity_label,non_vacuous,non_vacuous,1
ag_180,semantic_faithfulness,4,4,1
ag_180,code_consistency,4,4,1
ag_180,proof_utility,3,3,1
ag_180,coverage_label,full,full,1
ag_180,vacuity_label,non_vacuous,non_vacuous,1
ag_181,semantic_faithfulness,2,2,1
ag_181,code_consistency,4,4,1
ag_181,proof_utility,1,2,0
ag_181,coverage_label,failed,failed,1
ag_181,vacuity_label,non_vacuous,non_vacuous,1
ag_182,semantic_faithfulness,4,4,1
ag_182,code_consistency,4,4,1
ag_182,proof_utility,2,2,1
ag_182,coverage_label,full,full,1
ag_182,vacuity_label,non_vacuous,non_vacuous,1
ag_183,semantic_faithfulness,3,3,1
ag_183,code_consistency,4,4,1
ag_183,proof_utility,2,2,1
ag_183,coverage_label,partial,partial,1
ag_183,vacuity_label,non_vacuous,non_vacuous,1
ag_184,semantic_faithfulness,4,4,1
ag_184,code_consistency,4,4,1
ag_184,proof_utility,3,3,1
ag_184,coverage_label,full,full,1
ag_184,vacuity_label,non_vacuous,non_vacuous,1
ag_185,semantic_faithfulness,3,3,1
ag_185,code_consistency,4,4,1
ag_185,proof_utility,2,2,1
ag_185,coverage_label,partial,partial,1
ag_185,vacuity_label,non_vacuous,non_vacuous,1
ag_186,semantic_faithfulness,4,4,1
ag_186,code_consistency,4,4,1
ag_186,proof_utility,2,2,1
ag_186,coverage_label,full,full,1
ag_186,vacuity_label,non_vacuous,non_vacuous,1
ag_187,semantic_faithfulness,3,3,1
ag_187,code_consistency,4,4,1
ag_187,proof_utility,2,2,1
ag_187,coverage_label,partial,partial,1
ag_187,vacuity_label,non_vacuous,non_vacuous,1
ag_188,semantic_faithfulness,4,4,1
ag_188,code_consistency,4,3,0
ag_188,proof_utility,3,3,1
ag_188,coverage_label,full,full,1
ag_188,vacuity_label,non_vacuous,non_vacuous,1
ag_189,semantic_faithfulness,2,2,1
ag_189,code_consistency,4,4,1
ag_189,proof_utility,1,1,1
ag_189,coverage_label,failed,failed,1
ag_189,vacuity_label,non_vacuous,non_vacuous,1
ag_190,semantic_faithfulness,4,3,0
ag_190,code_consistency,4,4,1
ag_190,proof_utility,2,2,1
ag_190,coverage_label,full,partial,0
ag_190,vacuity_label,non_vacuous,non_vacuous,1
ag_191,semantic_faithfulness,3,3,1
ag_191,code_consistency,4,4,1
ag_191,proof_utility,2,2,1
ag_191,coverage_label,partial,partial,1
ag_191,vacuity_label,non_vacuous,non_vacuous,1
ag_192,semantic_faithfulness,4,3,0
ag_192,code_consistency,4,4,1
ag_192,proof_utility,3,3,1
ag_192,coverage_label,full,full,1
ag_192,vacuity_label,non_vacuous,non_vacuous,1
